,Unnamed: 0,vehicle_journey_id,serviced_organisation_id,serviced_organisation_name,serviced_organisation_code,serviced_organisation_start_date,serviced_organisation_end_date
0,0,65223,67,Worcester Sixth Form College,WSFC,2021-11-01,2021-12-17
1,1,65223,67,Worcester Sixth Form College,WSFC,2022-01-04,2022-02-18
2,2,65223,67,Worcester Sixth Form College,WSFC,2022-02-28,2022-04-08
3,3,65223,67,Worcester Sixth Form College,WSFC,2022-04-25,2022-05-27
4,4,65223,67,Worcester Sixth Form College,WSFC,2022-10-31,2022-12-16
5,5,65223,67,Worcester Sixth Form College,WSFC,2022-06-06,2022-07-20
6,6,65223,67,Worcester Sixth Form College,WSFC,2022-08-30,2026-10-21
7,7,65224,68,Worcestershire Schools,WORCS,2020-11-02,2020-12-18
8,8,65224,68,Worcestershire Schools,WORCS,2021-01-05,2021-03-12
9,9,65224,68,Worcestershire Schools,WORCS,2021-02-22,2021-04-01
10,10,65224,68,Worcestershire Schools,WORCS,2021-04-20,2021-05-28
11,11,65224,68,Worcestershire Schools,WORCS,2021-06-07,2021-07-22
12,12,65224,68,Worcestershire Schools,WORCS,2021-09-03,2021-10-22
13,13,65224,68,Worcestershire Schools,WORCS,2021-11-01,2021-12-17
14,14,65224,68,Worcestershire Schools,WORCS,2022-01-04,2022-02-18
15,15,65224,68,Worcestershire Schools,WORCS,2022-02-28,2022-04-08
16,16,65224,68,Worcestershire Schools,WORCS,2022-04-25,2022-05-27
17,17,65224,68,Worcestershire Schools,WORCS,2022-06-06,2022-07-21
18,18,65224,68,Worcestershire Schools,WORCS,2022-09-05,2022-10-21
19,19,65224,68,Worcestershire Schools,WORCS,2022-10-31,2026-12-16
20,20,65225,68,Worcestershire Schools,WORCS,2020-11-02,2020-12-18
21,21,65225,68,Worcestershire Schools,WORCS,2021-01-05,2021-03-12
22,22,65225,68,Worcestershire Schools,WORCS,2021-02-22,2021-04-01
23,23,65225,68,Worcestershire Schools,WORCS,2021-04-20,2021-05-28
24,24,65225,68,Worcestershire Schools,WORCS,2021-06-07,2021-07-22
25,25,65225,68,Worcestershire Schools,WORCS,2021-09-03,2021-10-22
26,26,65225,68,Worcestershire Schools,WORCS,2021-11-01,2021-12-17
27,27,65225,68,Worcestershire Schools,WORCS,2022-01-04,2022-02-18
28,28,65225,68,Worcestershire Schools,WORCS,2022-02-28,2022-04-08
29,29,65225,68,Worcestershire Schools,WORCS,2022-04-25,2022-05-27
30,30,65225,68,Worcestershire Schools,WORCS,2022-06-06,2022-07-21
31,31,65225,68,Worcestershire Schools,WORCS,2022-09-05,2022-10-21
32,32,65225,68,Worcestershire Schools,WORCS,2022-10-31,2026-12-16
33,33,65226,68,Worcestershire Schools,WORCS,2020-11-02,2020-12-18
34,34,65226,68,Worcestershire Schools,WORCS,2021-01-05,2021-03-12
35,35,65226,68,Worcestershire Schools,WORCS,2021-02-22,2021-04-01
36,36,65226,68,Worcestershire Schools,WORCS,2021-04-20,2021-05-28
37,37,65226,68,Worcestershire Schools,WORCS,2021-06-07,2021-07-22
38,38,65226,68,Worcestershire Schools,WORCS,2021-09-03,2021-10-22
39,39,65226,68,Worcestershire Schools,WORCS,2021-11-01,2021-12-17
40,40,65226,68,Worcestershire Schools,WORCS,2022-01-04,2022-02-18
